Name,Photo URL,Latitude,Longitude,Side,Drive Number
IMG_4345.jpg,https://drive.google.com/file/d/1OvRPSdB9d3NKtNppdTR6UXYIK4dAQFpp/view?usp=drivesdk,34.19943889,-118.1628583,Passenger,1
IMG_1589.JPG,https://drive.google.com/uc?export=view&id=1A9QHfRW-FwB_2NaMcGOpp6kJT3DVIVZh,34.19952222,-118.1627722,Driver,1
IMG_4346.jpg,https://drive.google.com/file/d/1zokd0evOX5YYl-0QjxF-PYFepesdwb68/view?usp=drivesdk,34.19941111,-118.1627417,Passenger,1
IMG_4347.jpg,https://drive.google.com/file/d/1fOZKy097lq9ygCZaZugL729EI1CuPPF_/view?usp=drivesdk,34.19939722,-118.1627056,Passenger,1
IMG_1590.JPG,https://drive.google.com/uc?export=view&id=1JS6Ql7KcPun1YwvZuvybhwNfojvmHDs6,34.19948889,-118.162675,Driver,1
IMG_1591.JPG,https://drive.google.com/uc?export=view&id=16fGFZRYmZzej2-sG35jvLVfl6YtdaC_m,34.199475,-118.1626278,Driver,1
IMG_4348.jpg,https://drive.google.com/file/d/1fCIphlrcKCalNFuBY8hZBYLvXFlKA2kK/view?usp=drivesdk,34.19936389,-118.1625972,Passenger,1
IMG_1592.JPG,https://drive.google.com/uc?export=view&id=1RLZIgFyG-qnJ2x1jDHEF1Qal9eM9Fvbt,34.19945278,-118.1625361,Driver,1
IMG_4349.jpg,https://drive.google.com/file/d/1kYKXhbbk5QTODrUHYihs1ZWjVD-BdrIS/view?usp=drivesdk,34.19933333,-118.1625139,Passenger,1
IMG_1593.JPG,https://drive.google.com/uc?export=view&id=1xCw9P5t4OVX3qJviSQ4x4lRslnm2QKCQ,34.199425,-118.1624611,Driver,1
IMG_1594.JPG,https://drive.google.com/uc?export=view&id=1Sr0htuVaf6ejlDtQOpCpa7qz0WlC-keR,34.19940556,-118.1624083,Driver,1
IMG_4350.jpg,https://drive.google.com/file/d/1QxL4_s9YXQRHZPuTnXLoNKY2Pk3fg69D/view?usp=drivesdk,34.19928056,-118.162375,Passenger,1
IMG_1595.JPG,https://drive.google.com/uc?export=view&id=1gRvfXgfRiiInHCPNt1GXWUG7OrPNGgXf,34.19940556,-118.1623528,Driver,1
IMG_1596.JPG,https://drive.google.com/uc?export=view&id=1jbLglP3DuF_eTNDu1e2UTnmovbNQwnIg,34.19939722,-118.1623167,Driver,1
IMG_1597.JPG,https://drive.google.com/uc?export=view&id=1u7qU-xovBcF8VDsyK21LrOTIkH4GIa5M,34.19935556,-118.162225,Driver,1
IMG_4352.jpg,https://drive.google.com/file/d/1r05zXiC-Wp_4ZgrpbBmFw3mffNAGAoHb/view?usp=drivesdk,34.19921944,-118.1621861,Passenger,1
IMG_1598.JPG,https://drive.google.com/uc?export=view&id=1JESSP4Fk9xbmxrY-GM6wACemPa73BqUi,34.19934444,-118.1621778,Driver,1
IMG_1599.JPG,https://drive.google.com/uc?export=view&id=1nxmJB7NL0flebxp7V_PNZRwOEV51xOwh,34.19932222,-118.1620944,Driver,1
IMG_4353.jpg,https://drive.google.com/file/d/17BjF-TWhnp07sQsUdmb0KIXrFnfTimBJ/view?usp=drivesdk,34.19918611,-118.1620639,Passenger,1
IMG_1600.JPG,https://drive.google.com/uc?export=view&id=1fN5VYJbbnXA52-PWyN1g3QIkbTKeJV3u,34.19929444,-118.1620333,Driver,1
IMG_1601.JPG,https://drive.google.com/uc?export=view&id=1sNNaT8EXCBgrnM3Gp1x50tBRPtv4s8Ag,34.19928333,-118.1619861,Driver,1
IMG_1602.JPG,https://drive.google.com/uc?export=view&id=1kUwp_HtzBaUkOCvc3CefXLSAIjbLZUQL,34.19927778,-118.1619722,Driver,1
IMG_4354.jpg,https://drive.google.com/file/d/14SJ_sCSoH_NH_SwqNNtsnkYVAV7lNBr3/view?usp=drivesdk,34.19915,-118.16195,Passenger,1
IMG_4355.jpg,https://drive.google.com/file/d/12cJUunMg1q1MvTRlH35_tTdfIRJ_H9Z_/view?usp=drivesdk,34.19911944,-118.1618639,Passenger,1
IMG_1603.JPG,https://drive.google.com/uc?export=view&id=1mCuQE8zb9BlihSFsDWg5yyxxRVDNO1RP,34.19924444,-118.16185,Driver,1
IMG_1604.JPG,https://drive.google.com/uc?export=view&id=1U5vegOiKsZ_UrdBkhVKUqyYWh1M6NezI,34.19923056,-118.1618056,Driver,1
IMG_4356.jpg,https://drive.google.com/file/d/1E3WBJ6P008uW1ioW3Zw5WqcwLNoRqWmC/view?usp=drivesdk,34.19908889,-118.1617583,Passenger,1
IMG_1605.JPG,https://drive.google.com/uc?export=view&id=1iy1_1_iT6XH2Vsgoz2jHhcNwUSCrjUER,34.19919167,-118.1616889,Driver,1
IMG_1606.JPG,https://drive.google.com/uc?export=view&id=1o5SOFDnOZI-RGYAJsgg5YG5aJuWfzGl7,34.19917222,-118.1616278,Driver,1
IMG_4357.jpg,https://drive.google.com/file/d/1ens7ONP2LWOW0obSmRn6IMelPc_CsE87/view?usp=drivesdk,34.19905278,-118.1616278,Passenger,1
